fight_id,fighter_1,fighter_1_id,fighter_2,fighter_2_id,winner,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,time_format,weight_class,date,location
ee532a38a0b93127,Dan Hooker,193b9d1858bc4df3,Ian Entwistle,d7adfcfdf7c6c1f8,Dan Hooker,KO/TKO,1,3:34,3 Rnd (5-5-5),Featherweight Bout,"June 28, 2014","Auckland, New Zealand"
2977a9b5c30d89c1,Richie Vaculik,54578e5927adea53,Roldan Sangcha-an,57887765f831e228,Richie Vaculik,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Flyweight Bout,"June 28, 2014","Auckland, New Zealand"
1f65f03f1225e061,Robert Whittaker,e1147d3d2dabe1ce,Mike Rhodes,b7ad576b8ae115e6,Robert Whittaker,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Welterweight Bout,"June 28, 2014","Auckland, New Zealand"
70e49c90d012de66,Jake Matthews,a845f0735bc67405,Dashon Johnson,36207c58e854cae5,Jake Matthews,Submission,3,3:16,3 Rnd (5-5-5),Lightweight Bout,"June 28, 2014","Auckland, New Zealand"
7962611f2adbacc0,Soa Palelei,60029bcf496bd707,Jared Rosholt,91ea901c458e95dd,Jared Rosholt,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Heavyweight Bout,"June 28, 2014","Auckland, New Zealand"
a4759c52378f9d1a,Hatsu Hioki,ef7fa30364cbe7f2,Charles Oliveira,07225ba28ae309b6,Charles Oliveira,Submission,2,4:32,3 Rnd (5-5-5),Featherweight Bout,"June 28, 2014","Auckland, New Zealand"
bfcabf1ab823942f,James Te Huna,f5431394fb284bb9,Nate Marquardt,a8e6a69796280f17,Nate Marquardt,Submission,1,4:34,5 Rnd (5-5-5-5-5),Middleweight Bout,"June 28, 2014","Auckland, New Zealand"
b36362f5db72abee,Dustin Ortiz,f53c1f4ceeed8c08,Ray Borg,a4de54ea806fb525,Dustin Ortiz,Decision - Split,3,5:00,3 Rnd (5-5-5),Flyweight Bout,"April 19, 2014","Orlando, Florida, USA"
70e0e57a6755e31e,Mirsad Bektic,cbd3e590a85b18c5,Chas Skelly,4bd6b4800070b069,Mirsad Bektic,Decision - Majority,3,5:00,3 Rnd (5-5-5),Featherweight Bout,"April 19, 2014","Orlando, Florida, USA"
73f72edb86c82eef,Jordan Mein,2aa49b3766a59bcd,Hernani Perpetuo,575360be653ad6a6,Jordan Mein,Decision - Split,3,5:00,3 Rnd (5-5-5),Welterweight Bout,"April 19, 2014","Orlando, Florida, USA"
7fe2f0213d641540,Caio Magalhaes,0c5c66ddd1886b83,Luke Zachrich,2284092f8b63273b,Caio Magalhaes,KO/TKO,1,0:44,3 Rnd (5-5-5),Middleweight Bout,"April 19, 2014","Orlando, Florida, USA"
3808db1e982cb103,Estevan Payan,d0a5ef38a7778ac2,Alex White,c17041f1bb5768d8,Alex White,KO/TKO,1,1:28,3 Rnd (5-5-5),Featherweight Bout,"April 19, 2014","Orlando, Florida, USA"
f8c9a597f719d75c,Jorge Masvidal,47b9e0e7703a4868,Pat Healy,50d2f0018bcf9eef,Jorge Masvidal,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lightweight Bout,"April 19, 2014","Orlando, Florida, USA"
220aa11288e919c6,Thiago Alves,31ee470ef5dc8d7f,Seth Baczynski,fd5b6598a3b70c0a,Thiago Alves,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Welterweight Bout,"April 19, 2014","Orlando, Florida, USA"
9d1722fb8b83a92a,Rafael Dos Anjos,6a2f7c151031653d,Khabib Nurmagomedov,032cc3922d871c7f,Khabib Nurmagomedov,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lightweight Bout,"April 19, 2014","Orlando, Florida, USA"
4e3ccffe18641d9c,Donald Cerrone,1d00756835ca67c9,Edson Barboza,64a50dad704d1d49,Donald Cerrone,Submission,1,3:15,3 Rnd (5-5-5),Lightweight Bout,"April 19, 2014","Orlando, Florida, USA"
f5445d367e7dbb2b,Brad Tavares,0c6d9ea8306c029e,Yoel Romero,f77c68bb4be8516d,Yoel Romero,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"April 19, 2014","Orlando, Florida, USA"
e446c5e4a8b8d189,Miesha Tate,b96619b3acd7d9da,Liz Carmouche,51a0c09cbe9b8472,Miesha Tate,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,"April 19, 2014","Orlando, Florida, USA"
